corpus,dataset,m_sil_tr,m_gmm_tr,m_sil_val,marg,marg_rel,iso,inter,best_local,best_global,glob_adv
tsbad_u,867_OPPORTUNITY_id_26_HumanActivity_tr_808_1st_908.csv,0.27965661785019746,0.18940268694511317,0.4116923075954658,2.5347899374508303,1.464218402336796,1.8954861871805373,0.06578947368421052,0.994541910331384,0.8957678442896913,-0.0987740660416927
ovrbench,AbstractAnomalyBatch,0.969303433835716,0.2984780022996448,0.9001715539333789,1.774492175253898,1.1477849252182595,1.1433782171932512,0.6325,0.8868916070786822,0.0965852905624091,-0.7903063165162731
oddbench,ArchaeologicalAnomalies,0.628057444954922,0.2664123430344533,0.4463509179200662,0.697959541898482,0.6949717425336226,0.9132799470049072,0.9745762711864406,0.2596825895705568,0.0176827573449656,-0.24199983222559118
oddbench,ArtCollections,0.6705377234407668,0.7605481550427289,0.6758870502765444,1.8054546852168443,1.9088305139651225,1.5309767859286862,0.8846153846153846,0.2824255257694367,0.0520909234188081,-0.23033460235062858
oddbench,AustinCrime,0.8672729013223454,1.1465904893474366,0.8766816698173434,1.5529139573422543,2.651514683145677,6.05368179996867,0.6225490196078431,0.2118791113419851,0.0884282886479408,-0.12345082269404428
ovrbench,BCellImmunity,0.22652498471782292,0.12688153188241766,0.2435759890525191,1.5392913138922173,1.0126332977028831,1.2458309188923173,0.7325,0.114158122838716,0.2852019412133893,0.1710438183746733
oddbench,BarExamPrediction,0.21240966103497155,0.22516900202708665,0.2315894717941514,2.187359771719419,1.431541286996677,1.456100914892736,0.41,0.3118964710695158,0.4241645525606357,0.11226808149111989
oddbench,BaseballBattedBall,0.23913366425016525,0.08201282431717251,0.2312921602734703,1.83067306712835,1.2800717815627916,1.2742859667489734,0.6421052631578947,0.034981085566233,0.3659939631754917,0.3310128776092587
oddbench,BaseballPitchingAnomalies,0.18207242828880957,0.0,0.1669363578680689,12.701106230358016,6.23478264684175,2.5662299669631676,0.007352941176470588,0.0557457750372684,0.3204853884756404,0.264739613438372
ovrbench,BatchProcessingEvents,0.4827161972434938,0.9450531376801025,0.6984877570761276,2.597808879409493,2.950877502530488,3.6211764760724767,0.445,0.3268935484003643,0.1986481785378108,-0.12824536986255347
ovrbench,BrainEEGSignals,0.6911432606643303,0.08478923093561373,0.6380746611602723,1.437574528056933,1.082087801484223,1.1455964281368038,0.804,0.5415929285713339,0.0605586851675402,-0.4810342434037937
oddbench,BuildingEnergyCompliance,0.9093551601787339,0.37805337384751114,0.844024658368794,1.8398987189967184,1.0254655850402983,1.0276561016024435,0.6636363636363637,-0.0011334760888004,0.2028959393359642,0.2040294154247646
oddbench,BuildingInspections,0.6084061498749427,1.2102111917097753,0.5814901834199666,0.9505916374115395,0.9158684771608229,5.041502117866446,0.905,0.2498623492182986,0.4074213692633371,0.1575590200450385
oddbench,BusTracking,0.9295614014320952,0.5681360137232604,0.8354435864365142,1.5314160890482165,1.1370568330807849,1.5263885043864993,0.5955414012738853,0.7699810875288099,0.1343365026622452,-0.6356445848665647
ovrbench,BusinessAnomalies,0.5603633276321551,0.7038726820508951,0.5343123746591111,3.658385293209128,3.0878543419889177,11.36172152445977,0.235,0.3709366416348323,0.3292900965278129,-0.04164654510701943
oddbench,BusinessProcessFraud,0.8521600450049319,0.30953743919944704,0.2505423856675304,1.7072597444871782,1.3496636169136704,1.63776652083075,0.5769230769230769,0.5630443589601946,0.7401078681455987,0.17706350918540414
ovrbench,CardiacHealth,0.24503931326545209,0.08452209597612712,0.236235360914313,2.056780484270487,1.5188147820313873,2.5143781640870007,0.49,0.9670237659219384,0.4073705606594202,-0.5596532052625183
ovrbench,CelestialObjects2,0.2699520849182287,0.047897244787385634,0.2825020416687738,2.523036006566566,1.6420765796550612,1.9785636433280112,0.2975,0.2950385628475073,0.3301272394372452,0.03508867658973791
oddbench,CityTreeCondition,0.30657952144803546,0.2536489077765197,0.3388416069300384,1.620123961806813,1.010488193435191,1.483672528866687,0.6712328767123288,0.2284530354920737,0.0657417661094988,-0.1627112693825749
oddbench,CodeSmell,0.3276556394708943,0.835187573775434,0.7799537332405103,1.183407397759371,0.9968824515807666,1.5819141209968723,0.7473684210526316,0.0354132335659635,0.1428499128248024,0.10743667925883889
oddbench,CodeStrata,0.3549194929002892,0.5456492429093652,0.3405457527445915,1.5038132435651097,1.3504959599705328,2.158336285893502,0.723404255319149,0.2854834264904052,0.1742879149734482,-0.111195511516957
ovrbench,Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),0.48711881606131474,0.19822545879569659,0.4840711743300782,1.702650595332274,0.8968005328529602,0.9667758109247823,0.7627118644067796,0.1877565740919023,-0.0834104734200419,-0.2711670475119442
ovrbench,CropWeedDetection,0.49042830865245524,0.3914540294795408,0.480110509745609,0.9369374989419846,0.8217098543041461,1.4153389203181745,0.9534883720930233,0.133485115846135,-0.0197485168541473,-0.1532336327002823
ovrbench,CryptojackingSystem,0.6157792476370122,1.0657590135222916,0.776998790668138,1.1931384108812113,0.9916194155639618,1.619420770028427,0.805,0.308150441988466,0.0506987889299649,-0.2574516530585011
ovrbench,CustomerChurn2,0.31307924930821873,1.1998259281715615,0.3107731821348616,1.945951313229309,1.4062081126268795,2.44288557594741,0.615,0.2658883216651278,0.1616226276769151,-0.10426569398821273
