dataset,modality,split,corpus,dedup_group,n_variants,base_rate,gt_best,gt_second,best_ap_norm,mean_ap_norm,worst_ap_norm,spread_ap_norm,best_auc,zone,gt_ranking,mz_rule_auc,hbos_rule_auc,rule_auc,rule_trivial,include
302_Power_id_1_Facility_tr_7685_1st_7785.csv,timeseries,dev,tsbad_u,g192,23,0.2498,PCA,PCA_c0.3,0.1878,0.0577,-0.0831,0.1302,0.6162,live,PCA|PCA_c0.3|ECOD|HBOS_b5|COPOD,0.4655687617512759,0.5334407735697019,0.5334407735697019,False,True
308_UCR_id_6_Facility_tr_20000_1st_56600.csv,timeseries,dev,tsbad_u,g379,23,0.044,LOF_k10,HBOS_b20,0.031,0.0013,-0.0159,0.0297,0.6964,floor,LOF_k10|HBOS_b20|HBOS_b50|ECOD|HBOS,,,,False,False
314_UCR_id_12_HumanActivity_tr_16250_1st_38500.csv,timeseries,dev,tsbad_u,g369,23,0.044,KNN_k3,KNN_k10,0.1855,0.0673,0.0024,0.1182,0.635,live,KNN_k3|KNN_k10|KNN_k20|LOF_k10|KNN_k50,0.471304347826087,0.5730434782608695,0.5730434782608695,False,True
327_UCR_id_25_Medical_tr_15000_1st_51370.csv,timeseries,dev,tsbad_u,g375,23,0.0513,ECOD,COPOD,0.1331,0.0586,0.0252,0.0745,0.7168,live,ECOD|COPOD|IF_n50|KNN_k3|IForest,,,,False,False
345_UCR_id_43_Facility_tr_25000_1st_44630.csv,timeseries,dev,tsbad_u,g376,23,0.0404,ECOD,LOF_k3,0.1096,0.0034,-0.0104,0.1062,0.6823,live,ECOD|LOF_k3|COPOD|LOF_k20|LOF_k10,0.6566666666666666,0.54,0.6566666666666666,False,True
348_UCR_id_46_Facility_tr_9000_1st_12400.csv,timeseries,dev,tsbad_u,g377,23,0.0599,HBOS_b5,HBOS,0.04,0.015,-0.0135,0.025,0.5915,floor,HBOS_b5|HBOS|HBOS_b20|PCA_c0.3|CBLOF,,,,False,False
368_UCR_id_66_Facility_tr_50000_1st_125720.csv,timeseries,dev,tsbad_u,g378,23,0.0827,LOF_k3,LOF_k10,0.3863,0.1065,-0.0097,0.2798,0.8058,live,LOF_k3|LOF_k10|LOF_k20|ECOD|KNN_k3,0.6059777777777777,0.6300444444444444,0.6300444444444444,False,True
36_speech,tabular,dev,adbench_dami,g239,36,0.0776,LOF_k3,LOF_k10,0.1354,0.0171,-0.0018,0.1183,0.665,live,LOF_k3|LOF_k10|LOF|LOF_k35|HBOS_b100,0.4707970604861503,0.4714980214810627,0.4714980214810627,False,True
37_Stamps,tabular,dev,adbench_dami,g242,35,0.2439,HBOS_b50,HBOS_b100,0.7008,0.5359,0.121,0.1649,0.9392,live,HBOS_b50|HBOS_b100|HBOS_b20|CBLOF|CBLOF_c16,0.9265850945494994,0.9477196885428252,0.9477196885428252,True,False
381_UCR_id_79_HumanActivity_tr_16000_1st_31200.csv,timeseries,dev,tsbad_u,g380,23,0.0827,KNN_k3,LOF_k10,0.3246,0.1201,0.0115,0.2045,0.7722,live,KNN_k3|LOF_k10|KNN_k10|LOF_k3|LOF_k20,0.4781555555555555,0.6917777777777778,0.6917777777777778,False,True
38_thyroid,tabular,dev,adbench_dami,g265,36,0.043,HBOS_b100,HBOS_b50,0.7267,0.3231,0.1161,0.4036,0.9879,live,HBOS_b100|HBOS_b50|HBOS_b20|ECOD|HBOS,0.9328719429347828,0.9788552989130436,0.9788552989130436,True,False
39_vertebral,tabular,dev,adbench_dami,g386,35,0.25,LOF_k3,LOF_k10,0.1974,0.0159,-0.0873,0.1815,0.6485,live,LOF_k3|LOF_k10|PCA_c0.3|PCA|PCA_c0.9,0.3373015873015873,0.3666666666666667,0.3666666666666667,False,True
