corpus,dataset,reg_udr,reg_matched,reg_em,reg_random,truefam
tsbad_m,137_CreditCard_id_1_Finance_tr_500_1st_5,0.3131377219228595,0.2851539865514387,0.0893727616886981,0.2360300604349325,global
oddbench,DiamondClarity,0.7528720315544858,0.7507518505538945,0.7507518505538945,0.7616152295550844,local
oddbench,HealthBehavior,0.023414062322901406,0.0207888683526068,0.0032205858277651,0.0565997351430976,global
ovrbench,ShillBidding,0.14679688473243263,0.0,0.0,0.421277588107584,global
oddbench,SalesPerformance,0.1776082293799886,0.1751880959002223,0.0759950433898424,0.207372510071272,global
tsbad_m,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.,0.29435399141316804,0.1864842965053323,0.2736370219023818,0.1827268650637867,global
oddbench,HumanRobotCollaboration,0.5323460805935417,0.0065361836415769,0.3459325670789209,0.4791537938591809,local
oddbench,EmailSpamDetection,0.40077490448111,0.5084255644630384,0.0,0.4464605469524467,global
oddbench,VoteOutcome,0.6100651719495348,0.1055545585375964,0.6840366008648169,0.5751436016255264,local
tsbad_m,172_SWaT_id_2_Sensor_tr_23700_1st_23800.,0.31767379599075257,0.0207670639837042,0.3075170748349979,0.1665718133322316,local
ovrbench,SyntheticNumericalBatch,0.1836669562243612,0.0,0.0861011278249573,0.1770237856278552,local
tsbad_m,092_SVDB_id_9_Medical_tr_2674_1st_2774.c,0.1963708175953126,0.0,0.0138220136343544,0.1475704536173229,local
ovrbench,Run_or_walk_information,0.83326047663696,0.0281697568338454,0.9015618754888344,0.608941909826475,local
tsbad_m,141_CATSv2_id_4_Sensor_tr_41727_1st_4182,0.3233914848183912,0.1516381596395702,0.4518951541359205,0.2347911730815503,global
ovrbench,FinancialTransaction1,0.06760523978324604,0.0573607323958331,0.0596225960401596,0.0669575429615354,global
oddbench,ArtSalesPlatform,0.15967341558724482,0.1606684037830954,0.1030984037978637,0.0978458570304735,global
tsbad_m,103_SVDB_id_20_Medical_tr_12167_1st_1226,0.07181153447973146,0.0,0.0455969496824626,0.0592905358056688,local
ovrbench,visualizing_soil,0.49744451129857925,0.5769539622518834,0.0,0.5915000100925323,global
ovrbench,AbstractAnomalyBatch,0.8708124675643968,0.8715851259910832,0.8703356990163809,0.635291181365085,local
ovrbench,GamingBehavior,0.3954126923541715,0.3946529307284655,0.4257380093034006,0.3436428076078102,local
oddbench,GeneticAnalysis,0.09865967137887625,0.0515620752254325,0.0992455741226042,0.0839291863494945,global
oddbench,AxieInfinityBug,0.014227538476371274,0.0438662765944231,0.0582486894724592,0.1015635736577794,global
oddbench,RealEstateBlockType,-0.001111664410525473,0.0416784785662833,0.0269014632970379,0.0941111352938706,global
oddbench,WaterPointFunctionality,0.0949009267062122,0.0,0.057722718544473,0.0983268687768923,local
oddbench,SMSClassification,0.08348477632568041,0.0711914003176689,0.0711914003176689,0.2782235435915583,global
ovrbench,KPIData,0.10941127466159734,0.0967601835607496,0.0849885755914275,0.0823290819489503,local
ovrbench,ShuttleOperations,0.7389237720837165,0.0,0.0370964158832183,0.5366643405160895,local
oddbench,CasePriority,0.08056294546140322,0.1283025771709303,0.1283025771709303,0.1480413220106277,local
tsbad_m,112_SVDB_id_29_Medical_tr_8226_1st_8326.,0.06223726342731344,0.0482204173897142,0.0575784454311765,0.0589250544704125,global
adbench,44_Wilt,0.7073035821266176,0.4456969079747201,0.4456969079747201,0.6118896830192945,local
ovrbench,SpotifyHitPredictor,0.1262631142967062,0.0572037710467307,0.0572037710467307,0.1967027527221076,global
dami,Wilt,0.2093035821266176,0.2303594905587133,0.1807377541580447,0.2224007376179487,local
oddbench,TreadmillStatus,0.4441662873256822,0.6528875246189886,0.3148853787350399,0.4912878406631267,local
ovrbench,students_dropout_and_academic_success,0.10976357226879754,0.0998037252180903,0.1287160289158748,0.1368790902144458,local
ovrbench,MalariaDetection,0.4630329783344549,0.8296380183362532,0.4276087138514206,0.5825029657747258,global
ovrbench,GesturePhaseSegmentationProcessed,0.680507715900599,0.0207285425741863,0.6914854017655763,0.5838293632852867,local
ovrbench,HealthMetrics,0.049060526221348794,0.0536770383378201,0.0536770383378201,0.0650824154528947,local
oddbench,BugSeverity,0.0572105817182124,0.0032644493011344,0.0032644493011344,0.0759617686727246,global
tsbad_m,084_SVDB_id_1_Medical_tr_12973_1st_13073,0.0553453528623598,0.0307525779968375,0.0071715982983185,0.0446803114784557,local
oddbench,LandRarity,0.19776091151547176,0.0,0.0,0.1969051324238885,global
oddbench,ProgrammingAnomalies,0.25526170990797076,0.2649048115216901,0.2594299078250727,0.1891000490574879,local
oddbench,WindowsEditionAnomaly,-0.011531493021369243,0.5063578553412765,0.3975653241787671,0.3319080305490998,global
ovrbench,BankruptcyForecast,0.07486345174496471,0.0981570735182205,0.0788614397883365,0.0923444362090993,global
ovrbench,seismic-bumps,0.026533184034621682,0.0460497526063253,0.0449512163322862,0.0708501732685331,local
tsbad_m,143_CATSv2_id_6_Sensor_tr_50000_1st_6023,0.37946491457231146,0.1230134626611259,0.4060237831255109,0.2098608733800438,global
tsbad_m,104_SVDB_id_21_Medical_tr_50000_1st_1066,0.21393859491565154,0.0787030648958002,0.0,0.1602184340163341,local
tsbad_m,108_SVDB_id_25_Medical_tr_1238_1st_1338.,0.16567875393695938,0.0,0.0261445507923017,0.1025463218282806,local
oddbench,CarMakeAnomaly,0.04065687021834297,0.039685457467702,0.0556504486567737,0.0461922393002101,local
ovrbench,mozilla4,0.07346197542769944,0.0330476645491301,0.076614856097649,0.0557094956295056,local
oddbench,FishingAnomalies,0.2089494625937914,0.2301877648140196,0.2289508342761375,0.1831085193270378,local
oddbench,AquaticMacroInverts,0.06568880852449499,0.0706137724712425,0.0,0.3982236923730295,global
oddbench,UserEventAnomalies,0.8044624900537315,0.0,0.8864770996239905,0.8451462922585516,global
