corpus,dataset,dip_frac,mean_dip,bc_frac,gmm_k,silh,dip_proj_frac,dip_proj_minp,bestdir_p
tsbad_m,096_SVDB_id_13_Medical_tr_500_1st_444.cs,0.875,0.0618332936961115,0.75,14,0.5268555020699656,0.48333333333333334,0.0,0.0
oddbench,WindowsEditionAnomaly,1.0,0.08906531439276621,0.6538461538461539,7,0.19652360973259034,0.0,0.8235556963901783,0.9969449631763093
ovrbench,CryptojackingSystem,0.7857142857142857,0.03262346055863405,0.7857142857142857,15,0.6073009450127449,0.05,0.0,0.07270358130273102
tsbad_m,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.,0.39552238805970147,0.03663517847110535,0.5149253731343284,9,0.1510149484427948,0.0,0.6353566503722449,0.9276533652447408
tsbad_m,095_SVDB_id_12_Medical_tr_6264_1st_6364.,0.875,0.06646515339979983,0.8125,15,0.5388338904414914,0.5166666666666667,0.0,0.0
tsbad_m,103_SVDB_id_20_Medical_tr_12167_1st_1226,0.75,0.03667846776038809,0.5,10,0.6293257791514186,0.26666666666666666,0.0,0.0
tsbad_m,107_SVDB_id_24_Medical_tr_32805_1st_3290,0.6875,0.037985708923452786,0.5,11,0.4882643387046994,0.3333333333333333,0.0,0.0
oddbench,LandShapeAnomaly,0.8181818181818182,0.04865523206251648,0.5454545454545454,15,0.29713650336961384,0.7166666666666667,0.0,0.6681997926602676
tsbad_m,108_SVDB_id_25_Medical_tr_1238_1st_1338.,0.8125,0.03560673290254078,0.1875,14,0.5459188623279799,0.5,0.0,0.0
oddbench,OkCupidUserBehavior,1.0,0.043375,0.75,8,0.4706918559491373,0.0,0.4032349171018521,0.8976626977203356
adbench,27_PageBlocks,0.2,0.016661509338285686,0.6,14,0.5926326987054643,0.0,0.660786181289813,0.9827468142838727
dami,PageBlocks,0.2,0.01666150933828564,0.6,14,0.5926326987054646,0.0,0.6607861812898829,0.9827468142838661
ovrbench,KPIData,0.3333333333333333,0.026443985193490654,1.0,9,0.527055936958732,0.08333333333333333,1.0908296066092227e-05,0.7612840709365547
tsbad_m,141_CATSv2_id_4_Sensor_tr_41727_1st_4182,0.40298507462686567,0.03670741454527017,0.5,11,0.15460614458490335,0.0,0.541071817363379,0.0
oddbench,SalesPerformance,0.8571428571428571,0.09149357166287649,0.42857142857142855,14,0.4176226928110522,0.25,0.0,0.0
ovrbench,KenyaMovement,0.6666666666666666,0.03834203973388053,0.2222222222222222,13,0.23129473995673863,0.03333333333333333,0.0,0.9807421282824981
ovrbench,FinancialTransaction1,0.3431372549019608,0.01640951752070683,1.0,15,0.7932656602750839,0.03333333333333333,0.0,3.9630510091592797e-05
