corpus,dataset,truefam,reg_small,reg_edge,reg_beta1,reg_random,rho_small,rho_edge,rho_beta1
ovrbench,FireRiskAnalysis,global,0.18165089904119736,0.09464911510872748,0.01467749850148023,0.10410560635028933,-0.10855550648796433,-0.22829131652661064,0.24761904761904763
adbench,30_satellite,global,0.31076491962486696,0.7213681036550401,0.18605151402585257,0.40750015857198435,0.48038116591928254,-0.756726457399103,0.46216367713004486
oddbench,AttackIncidents,local,0.006724133106031545,0.10235186124395868,0.034658549411141236,0.06472513810835187,0.37501877942407624,-0.355984555984556,0.5243243243243243
tsbad_m,102_SVDB_id_19_Medical_tr_50000_1st_1073,local,0.07872474796417889,0.5481538087774189,0.07872474796417889,0.3568766233589236,0.7727973105476956,-0.9097912872951393,0.8492786104496428
ovrbench,RealEstateData,global,0.7144480462806396,0.6253685607128601,0.20348402128455056,0.5189749315317473,-0.004737887819043253,-0.5130674002751032,0.5879565948341741
tsbad_m,096_SVDB_id_13_Medical_tr_500_1st_444.cs,local,0.189800489242914,0.20009663459855623,0.0,0.13259609845624934,-0.29934164448802353,-0.8638464770976326,0.8414343745622637
oddbench,RacingMotion,local,0.7132099499880515,0.8264067650624352,0.9391296238090816,0.5013616019810103,-0.4907427321696303,-0.5929717341482047,-0.0267379679144385
ovrbench,CryptojackingSystem,local,0.3098955000917445,0.36814714717628544,0.038069742972189236,0.2760472018306846,-0.5262335156812288,-0.5876447876447878,0.8355212355212355
oddbench,LandShapeAnomaly,global,0.00011377567518189302,0.0,0.0,0.12814642000313795,0.3939777448749018,0.45218174797271204,0.5631355386793667
ovrbench,CreditScoringAnomalies,global,0.3110184680872028,0.30710970531643755,0.19522189908215604,0.221369126216688,-0.7589762914898616,-0.944916344916345,0.5624195624195624
ovrbench,XSSDetection,global,0.00954078193437674,0.11513232519793143,0.6609194456633171,0.5611491946977367,0.5921443597201149,0.4918918918918919,-0.17966537966537968
ovrbench,NetworkHealthMonitor,local,0.10243922423680295,0.10243922423680295,0.04926824691705192,0.0652873427412882,-0.7325160335549601,-0.8271708683473391,0.8021570157636176
oddbench,OkCupidUserBehavior,global,0.046902208249947154,0.05862425783019522,0.006682708514918409,0.030389705223144423,-0.7475540741654915,-0.33532857120366166,0.6053546144934997
tsbad_m,087_SVDB_id_4_Medical_tr_5421_1st_5521.c,local,0.20323576915221922,0.22723638932030027,0.0,0.16404897193786222,-0.18187668940661603,-0.8494014673703179,0.830866263354357
ovrbench,KDD,global,0.09805236676636965,0.10101826959073623,0.11652902071900145,0.07851370888405498,-0.552093872252022,0.2913165266106443,-0.4490196078431373
tsbad_m,110_SVDB_id_27_Medical_tr_30824_1st_3092,local,0.1198084828493353,0.11370645059243997,0.016464814976534167,0.07893894440733304,-0.6635383106877714,-0.768595041322314,0.8389130130270346
oddbench,PoliceForceDisturbance,global,0.43227177347628054,0.45084103991285607,0.3542790579323244,0.34002252394130683,-0.5871299871299871,-0.6375804375804377,0.28288288288288294
tsbad_m,095_SVDB_id_12_Medical_tr_6264_1st_6364.,local,0.15281168549661506,0.14845931438467508,0.0014848209479332575,0.1061630868219455,-0.6761451183639164,-0.8781341924639305,0.859644207872251
ovrbench,WebpageSessionIntrusion,local,0.14950453309615142,0.14124194076490146,0.14950453309615142,0.1413329913011081,-0.4401107043935966,-0.31206952625662754,-0.12292444330029603
tsbad_m,142_CATSv2_id_5_Sensor_tr_30704_1st_3080,global,0.0887488425748228,0.0887488425748228,0.12875852357010992,0.08524178074400554,-0.2985842985842986,0.011068211068211068,-0.2005148005148005
ovrbench,UrlAnalysis,global,0.20255303424348303,0.0,0.7196432345030609,0.25469485942778863,0.5426014537682626,0.5613899613899613,-0.30707850707850703
oddbench,CourseRegistration,global,0.2205087500489762,0.3220633860093049,0.22576762187329075,0.27343134286088405,-0.39212569465242236,-0.6192958756471464,0.33427725576007206
tsbad_m,107_SVDB_id_24_Medical_tr_32805_1st_3290,local,0.045439320071407274,0.057564158392724184,0.0,0.040902431201025,0.27738447676663663,-0.38808083408418065,0.7858154202600077
dami,Annthyroid,global,0.33766192257972255,0.33795308062837703,0.0,0.33269703714652266,0.5351097480198547,-0.11788931788931789,0.16061776061776062
oddbench,GPUResourceUsage,local,0.5441608200850798,0.5927172080868324,0.5292207156179691,0.4868121917131881,-0.06579964436357606,-0.5322435319860985,0.32938602136697126
ovrbench,KenyaMovement,local,0.07077091152778368,0.07077091152778368,0.01759210241828836,0.04436225743687283,-0.2102960102960103,-0.46074646074646075,0.4815958815958816
tsbad_m,137_CreditCard_id_1_Finance_tr_500_1st_5,global,0.1109769287691198,0.0,0.2851539865514387,0.23471288307267138,-0.18019706857887183,0.9093951093951094,-0.6728442728442728
oddbench,DiamondClarity,local,0.9080605596735972,0.7120967220713883,0.0,0.7647332080616266,0.2817387235286298,-0.13064744497361308,0.4663405843737932
oddbench,HealthBehavior,global,0.049371564193769625,0.09072929680884796,0.0207888683526068,0.057728644895510384,-0.5002449656666921,-0.8185447180238486,0.6876750700280113
ovrbench,ShillBidding,global,0.4172257748130521,0.37097913545377914,0.0,0.42720506386001994,0.5202444614209321,0.7219251336898396,0.3689839572192513
oddbench,SalesPerformance,global,0.11741126384637379,0.11615473083945171,0.06035315984993006,0.18765847369676858,0.08288288288288288,0.1891891891891892,-0.03835263835263836
tsbad_m,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.,global,0.16692918956723599,0.0003350722869657208,0.18648429650533238,0.18302593541290774,0.4408963585434174,0.1123249299719888,0.20504201680672268
oddbench,HumanRobotCollaboration,local,0.35623069344089375,0.514618211926155,0.0065361836415769314,0.4798628809877934,-0.06038831982877236,-0.0894358660755236,0.8110380675737654
oddbench,EmailSpamDetection,global,0.347560470526504,0.3607831007982551,0.5084255644630384,0.4463760138539037,-0.734853493826554,-0.06397219772392135,-0.4525096525096525
oddbench,VoteOutcome,local,0.6038971179520132,0.7911515982901443,0.10555455853759643,0.5736509986065885,-0.34279803485155297,-0.5861003861003861,0.836036036036036
tsbad_m,172_SWaT_id_2_Sensor_tr_23700_1st_23800.,local,0.03720976176057822,0.242912392665818,0.020767063983704204,0.16776912532641136,0.4950391623448733,-0.5450801221146212,0.711969111969112
ovrbench,SyntheticNumericalBatch,local,0.17479937316152622,0.19021592425064388,0.0,0.17640990798239667,-0.206732316834196,-0.24211610245848883,-0.09563650405457588
tsbad_m,092_SVDB_id_9_Medical_tr_2674_1st_2774.c,local,0.0854839333311786,0.24644778117886346,0.0,0.14772270925438372,0.31805895224610625,-0.733813875659673,0.8887887759042348
ovrbench,Run_or_walk_information,local,0.032463092023819584,0.8263749936508977,0.028169756833845483,0.6259937279854785,0.6991596638655462,-0.6585434173669468,0.6448179271708684
tsbad_m,141_CATSv2_id_4_Sensor_tr_41727_1st_4182,global,0.16424565627603893,0.0008262082818306649,0.15163815963957028,0.2391920699537432,0.5144873552106545,-0.08365508365508366,0.3191763191763192
ovrbench,FinancialTransaction1,global,0.06647798728255172,0.08761068775900427,0.06647798728255172,0.07495056082397653,-0.24777963907152636,-0.4489060489060489,-0.435006435006435
oddbench,ArtSalesPlatform,global,0.16066840378309546,0.06761124188127962,0.1030984037978637,0.09779216874852092,0.28189107839606004,0.34423274974253343,-0.24871266735324407
tsbad_m,103_SVDB_id_20_Medical_tr_12167_1st_1226,local,0.06764110180636035,0.07847106970129282,0.0,0.059796483925700875,-0.2117389625434419,-0.7943107221006565,0.6681683614364783
