corpus,dataset,reg_ifr,reg_matched,reg_beta1,reg_em,reg_mv,truefam
oddbench,HumanRobotCollaboration,0.4846492967833306,0.0065361836415769,0.0065361836415769,0.3459325670789209,0.3459325670789209,local
oddbench,EmailSpamDetection,0.38655000429077735,0.5084255644630384,0.5084255644630384,0.0,0.0,global
oddbench,VoteOutcome,0.6424629118187594,0.1055545585375964,0.1055545585375964,0.6840366008648169,0.5098583825981935,local
tsbad_m,172_SWaT_id_2_Sensor_tr_23700_1st_23800.,0.31468883143570553,0.0207670639837042,0.0207670639837042,0.3075170748349979,0.3075170748349979,local
ovrbench,SyntheticNumericalBatch,0.18401530705588606,0.0,0.0,0.0861011278249573,0.0861011278249573,local
tsbad_m,092_SVDB_id_9_Medical_tr_2674_1st_2774.c,0.1942566397688209,0.0,0.0,0.0138220136343544,0.0138220136343544,local
ovrbench,Run_or_walk_information,0.8673618992511523,0.0281697568338454,0.0281697568338454,0.9015618754888344,0.5060303527104162,local
tsbad_m,141_CATSv2_id_4_Sensor_tr_41727_1st_4182,0.3403350113509316,0.1516381596395702,0.1516381596395702,0.4518951541359205,0.4518951541359205,global
ovrbench,FinancialTransaction1,0.058677748099939794,0.0573607323958331,0.0573607323958331,0.0596225960401596,0.0596225960401596,global
oddbench,ArtSalesPlatform,0.1508874174740592,0.1606684037830954,0.1030984037978637,0.1030984037978637,0.1607196900222672,global
tsbad_m,103_SVDB_id_20_Medical_tr_12167_1st_1226,0.07434129415190534,0.0,0.0,0.0455969496824626,0.0455969496824626,local
ovrbench,visualizing_soil,0.4920484301296487,0.5769539622518834,0.5769539622518834,0.0,0.0,global
ovrbench,AbstractAnomalyBatch,0.8755456931786955,0.8715851259910832,0.8824316690073153,0.8703356990163809,0.8703356990163809,local
ovrbench,GamingBehavior,0.4139355108476752,0.3946529307284655,0.3009563002803129,0.4257380093034006,0.4257380093034006,local
oddbench,GeneticAnalysis,0.09503495275531838,0.0515620752254325,0.0515620752254325,0.0992455741226042,0.0992455741226042,global
oddbench,AxieInfinityBug,0.04500411417547437,0.0438662765944231,0.0940712134677891,0.0582486894724592,0.0438662765944231,global
oddbench,RealEstateBlockType,-0.002019949393572626,0.0416784785662833,0.0173204423340995,0.0269014632970379,0.0173204423340995,global
oddbench,WaterPointFunctionality,0.10498983356132227,0.0,0.0,0.057722718544473,0.057722718544473,local
oddbench,SMSClassification,0.1432458453011436,0.0711914003176689,0.4520885863648636,0.0711914003176689,0.0,global
ovrbench,KPIData,0.08995555694805572,0.0967601835607496,0.0967601835607496,0.0849885755914275,0.0849885755914275,local
ovrbench,ShuttleOperations,0.7327122607598494,0.0,0.0,0.0370964158832183,0.0370964158832183,local
oddbench,CasePriority,0.05008717428102458,0.1283025771709303,0.1283025771709303,0.1283025771709303,0.1283025771709303,local
tsbad_m,112_SVDB_id_29_Medical_tr_8226_1st_8326.,0.061399607840407495,0.0482204173897142,0.0482204173897142,0.0575784454311765,0.0575784454311765,global
adbench,44_Wilt,0.7095196285852255,0.4456969079747201,0.1883080589082228,0.4456969079747201,0.4456969079747201,local
ovrbench,SpotifyHitPredictor,0.08244445168106679,0.0572037710467307,0.0572037710467307,0.0572037710467307,0.0572037710467307,global
dami,Wilt,0.2115195410006161,0.2303594905587133,0.0,0.1807377541580447,0.1807377541580447,local
oddbench,TreadmillStatus,0.5052217902279246,0.6528875246189886,0.6528875246189886,0.3148853787350399,0.3148853787350399,local
ovrbench,students_dropout_and_academic_success,0.11709872560143844,0.0998037252180903,0.0998037252180903,0.1287160289158748,0.0998037252180903,local
ovrbench,MalariaDetection,0.44593160816875693,0.8296380183362532,0.8296380183362532,0.4276087138514206,0.1910997669185635,global
ovrbench,GesturePhaseSegmentationProcessed,0.676818730661187,0.0207285425741863,0.0207285425741863,0.6914854017655763,0.6914854017655763,local
ovrbench,HealthMetrics,0.051684086081618924,0.0536770383378201,0.1001957753363956,0.0536770383378201,0.0637926796159922,local
oddbench,BugSeverity,0.05709256933009375,0.0032644493011344,0.0032644493011344,0.0032644493011344,0.0032644493011344,global
tsbad_m,084_SVDB_id_1_Medical_tr_12973_1st_13073,0.052171534720824135,0.0307525779968375,0.0307525779968375,0.0071715982983185,0.0071715982983185,local
oddbench,LandRarity,0.13914092823417362,0.0,0.0,0.0,0.0,global
oddbench,ProgrammingAnomalies,0.2515237818654688,0.2649048115216901,0.2178340248838213,0.2594299078250727,0.2649048115216901,local
oddbench,WindowsEditionAnomaly,0.07044918375917386,0.5063578553412765,0.5063578553412765,0.3975653241787671,0.3975653241787671,global
ovrbench,BankruptcyForecast,0.08264333449489072,0.0981570735182205,0.0981570735182205,0.0788614397883365,0.0788614397883365,global
ovrbench,seismic-bumps,0.007042731756393583,0.0460497526063253,0.1303692145243776,0.0449512163322862,0.0449512163322862,local
tsbad_m,143_CATSv2_id_6_Sensor_tr_50000_1st_6023,0.38912499527126426,0.1230134626611259,0.1230134626611259,0.4060237831255109,0.3803230761098892,global
tsbad_m,104_SVDB_id_21_Medical_tr_50000_1st_1066,0.2098809134037505,0.0787030648958002,0.0787030648958002,0.0,0.0,local
tsbad_m,108_SVDB_id_25_Medical_tr_1238_1st_1338.,0.12063521686522731,0.0,0.0,0.0261445507923017,0.0261445507923017,local
oddbench,CarMakeAnomaly,0.03931484255550079,0.039685457467702,0.0556504486567737,0.0556504486567737,0.039685457467702,local
ovrbench,mozilla4,0.0828646177667443,0.0330476645491301,0.0330476645491301,0.076614856097649,0.076614856097649,local
oddbench,FishingAnomalies,0.19779580797435584,0.2301877648140196,0.2301877648140196,0.2289508342761375,0.2289508342761375,local
oddbench,AquaticMacroInverts,0.10073282735478117,0.0706137724712425,0.5528517885730906,0.0,0.0706137724712425,global
oddbench,UserEventAnomalies,0.8006387377787388,0.0,0.0,0.8864770996239905,0.7889438223816942,global
oddbench,RealEstateProperties,0.04645397915426247,0.0644179678908998,0.0630083244563921,0.0644179678908998,0.0633875075956688,local
tsbad_m,173_GECCO_id_1_Sensor_tr_16165_1st_16265,0.26452573957476855,0.6334083933655382,0.6334083933655382,0.1749010053159304,0.1749010053159304,global
tsbad_m,053_GHL_id_22_Sensor_tr_50000_1st_126448,0.2947796679906449,0.3132636314866596,0.3132636314866596,0.3074514841449061,0.3074514841449061,local
ovrbench,HeadingDetection,0.3265586808344947,0.3503255600962376,0.177038455998056,0.335013777256415,0.177038455998056,local
dami,PageBlocks,0.12556415404914434,0.103491753314262,0.0236613780829954,0.1341959412045122,0.103491753314262,local
adbench,27_PageBlocks,0.2855641540491443,0.0425080069421955,0.0425080069421955,0.294066291473962,0.4507288905976322,local
tsbad_m,138_CATSv2_id_1_Sensor_tr_16568_1st_1666,0.5554272335021667,0.1352131564090972,0.1352131564090972,0.5313608242965928,0.5313608242965928,local
oddbench,AustinCrime,0.1056785007690063,0.1422382943892954,0.1422382943892954,0.0446149521414836,0.0446149521414836,local
ovrbench,thyroid-ann,0.05343112818132284,0.2823223535447199,0.2277249664657329,0.2823223535447199,0.0308041758827858,global
ovrbench,GeneExpressionCoactivator,0.08047568905165464,0.0498150206483333,0.2447596944783081,0.0076298564280398,0.0398929556279054,global
adbench,23_mammography,0.09724098579755547,0.0221779024714163,0.0221779024714163,0.0978864693785729,0.0978864693785729,global
