modality,seed,dataset,regret,pick,true_best,best_auc,pick_auc,rand_regret,best_regime,best_regime_regret,category,regret_hard_K30,regret_hard_K50,regret_random_K30,regret_random_K50,regret_smallest_K30,regret_smallest_K50,rho_hard_K30,rho_hard_K50,rho_random_K30,rho_random_K50,rho_smallest_K30,rho_smallest_K50
nlp,4,agnews_1,0.0,LOF,LOF,0.8253052631578948,0.8253052631578948,0.21880584795321645,hard_K30,0.0,ok,0.0,0.0,0.16087052631578946,0.0,0.16087052631578946,0.16087052631578946,0.8833333333333333,0.6666666666666667,0.65,0.75,0.2833333333333333,0.39999999999999997
nlp,4,agnews_2,0.0,LOF,LOF,0.7664168421052632,0.7664168421052632,0.12061309941520482,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.0,0.04243263157894739,0.8666666666666667,0.7833333333333333,0.7833333333333333,0.75,0.5499999999999999,0.7
nlp,4,agnews_3,0.0,LOF,LOF,0.7423105263157894,0.7423105263157894,0.15097941520467828,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.11000947368421043,0.11000947368421043,0.8499999999999999,0.7333333333333334,0.9166666666666666,0.2333333333333333,0.48333333333333334,0.18333333333333335
nlp,4,amazon,0.023382105263157982,LOF,KNN,0.6156473684210527,0.5922652631578947,0.04804888888888892,hard_K30,0.023382105263157982,flip,0.023382105263157982,0.023382105263157982,0.023382105263157982,0.023382105263157982,0.026953684210526352,0.023382105263157982,0.43333333333333335,0.43333333333333335,0.6666666666666667,0.5166666666666667,0.6833333333333333,0.48333333333333334
nlp,4,imdb,0.0,LOF,LOF,0.5208042105263158,0.5208042105263158,0.029462690058479457,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.015593684210526315,0.03618526315789472,0.3,-0.06666666666666667,0.6666666666666667,0.45,0.31666666666666665,0.35
nlp,4,yelp,0.002342105263158034,LOF,KNN,0.6891652631578948,0.6868231578947368,0.06324081871345033,hard_K30,0.002342105263158034,ok,0.002342105263158034,0.002342105263158034,0.058404210526315836,0.002342105263158034,0.058404210526315836,0.07591368421052636,0.7166666666666667,0.6833333333333333,0.8166666666666667,0.9166666666666666,0.4666666666666666,0.39999999999999997
ts,0,ts_amplitude,0.0,KNN,CBLOF,1.0,1.0,0.0020283975659229903,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,,,,,,,,
ts,0,ts_freq_shift,0.0026634382566586012,KNN,HBOS,1.0,0.9973365617433414,0.013559322033898313,hard_K30,0.0026634382566586012,ok,0.0026634382566586012,0.0026634382566586012,0.0026634382566586012,0.0026634382566586012,0.0026634382566586012,0.0026634382566586012,,,,,,
ts,0,ts_mixed,0.0,LOF,CBLOF,1.0,1.0,0.007965411624084817,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
ts,0,ts_point_spikes_0,0.0,LOF,CBLOF,1.0,1.0,0.012650475923852156,hard_K30,0.0,ok,0.0,0.0,,0.0,0.0,0.0,0.7325886315065459,,,,,
ts,0,ts_point_spikes_1,0.0,KNN,CBLOF,1.0,1.0,0.027354426619132566,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.0,0.0,,0.7325886315065459,,,,
ts,0,ts_point_spikes_2,0.0,KNN,HBOS,1.0,1.0,0.04614405510631925,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,,0.0,,,,,,
ts,0,ts_point_spikes_3,0.0,LOF,CBLOF,1.0,1.0,0.043926846100759254,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.38797014489949266,0.15975241260567344,0.5249007842757842,0.7074749701108396,0.5477225575051661,0.5477225575051661
ts,0,ts_subseq_0,0.010622562861368867,KNN,LODA,0.9969073551163103,0.9862847922549415,0.005193626462283163,hard_K30,0.001344628210299903,ill_posed,0.001344628210299903,0.010622562861368867,0.010622562861368867,0.010622562861368867,0.010622562861368867,0.007126529514589253,,,,,,
