dataset,aggregation,spearman_rho,kendall_tau,top1_hit,top3_hit_ratio,n_detectors,note,K,selection,seed,true_spread
43_WDBC,borda,-0.8210653934707497,-0.629940788348712,0,0.0,10,,30,composite_top_quartile,0,0.04861111111111116
43_WDBC,mean,-0.8210653934707497,-0.629940788348712,0,0.0,10,,30,composite_top_quartile,0,0.04861111111111116
43_WDBC,varweight,-0.8210653934707497,-0.629940788348712,0,0.0,10,,30,composite_top_quartile,0,0.04861111111111116
44_Wilt,borda,0.6,0.4222222222222222,0,0.6666666666666666,10,,30,composite_top_quartile,0,0.5430210406535941
44_Wilt,mean,0.6,0.37777777777777777,0,0.6666666666666666,10,,30,composite_top_quartile,0,0.5430210406535941
44_Wilt,varweight,0.6242424242424242,0.4222222222222222,0,0.6666666666666666,10,,30,composite_top_quartile,0,0.5430210406535941
47_yeast,borda,0.5878787878787878,0.37777777777777777,0,0.6666666666666666,10,,30,composite_top_quartile,0,0.12056716177595295
47_yeast,mean,0.5636363636363636,0.3333333333333333,0,0.6666666666666666,10,,30,composite_top_quartile,0,0.12056716177595295
47_yeast,varweight,0.6242424242424242,0.37777777777777777,0,0.6666666666666666,10,,30,composite_top_quartile,0,0.12056716177595295
6_cardio,borda,0.24848484848484845,0.24444444444444444,0,0.3333333333333333,10,,30,composite_top_quartile,0,0.12462235649546827
6_cardio,mean,0.24848484848484845,0.24444444444444444,0,0.3333333333333333,10,,30,composite_top_quartile,0,0.12462235649546827
6_cardio,varweight,0.309090909090909,0.28888888888888886,0,0.3333333333333333,10,,30,composite_top_quartile,0,0.12462235649546827
14_glass,borda,0.4666666666666666,0.3333333333333333,1,0.6666666666666666,10,,30,random,0,0.5501355013550135
14_glass,mean,0.4787878787878787,0.28888888888888886,1,0.6666666666666666,10,,30,random,0,0.5501355013550135
14_glass,varweight,0.406060606060606,0.24444444444444444,0,0.6666666666666666,10,,30,random,0,0.5501355013550135
18_Ionosphere,borda,0.7598819296000807,0.5843065474681431,1,0.3333333333333333,10,,30,random,0,0.21516754850088182
18_Ionosphere,mean,0.7939393939393938,0.6,0,0.6666666666666666,10,,30,random,0,0.21516754850088182
18_Ionosphere,varweight,0.6969696969696969,0.5555555555555555,0,0.6666666666666666,10,,30,random,0,0.21516754850088182
19_landsat,borda,0.7939393939393938,0.6444444444444444,0,0.6666666666666666,10,,30,random,0,0.4071020203630732
19_landsat,mean,0.8060606060606059,0.6444444444444444,0,0.6666666666666666,10,,30,random,0,0.4071020203630732
19_landsat,varweight,0.7939393939393938,0.6,0,0.6666666666666666,10,,30,random,0,0.4071020203630732
20_letter,borda,0.6666666666666667,0.4444444444444444,1,1.0,9,,30,random,0,0.399
20_letter,mean,0.5333333333333333,0.4444444444444444,1,1.0,9,,30,random,0,0.399
20_letter,varweight,0.39999999999999997,0.3333333333333333,1,0.6666666666666666,9,,30,random,0,0.399
22_magic.gamma,borda,0.9272727272727272,0.7777777777777777,0,1.0,10,,30,random,0,0.20104772955161232
22_magic.gamma,mean,0.9030303030303028,0.7333333333333333,0,1.0,10,,30,random,0,0.20104772955161232
22_magic.gamma,varweight,0.9030303030303028,0.7333333333333333,0,1.0,10,,30,random,0,0.20104772955161232
23_mammography,borda,-0.1515151515151515,-0.1111111111111111,0,0.0,10,,30,random,0,0.09106935398697413
23_mammography,mean,-0.06666666666666665,-0.1111111111111111,0,0.0,10,,30,random,0,0.09106935398697413
23_mammography,varweight,-0.34545454545454546,-0.24444444444444444,0,0.0,10,,30,random,0,0.09106935398697413
25_musk,borda,0.4719509741997222,0.3779644730092272,0,0.6666666666666666,10,,30,random,0,0.04961666174092949
25_musk,mean,0.49781130155313164,0.4283597360771242,0,0.6666666666666666,10,,30,random,0,0.04961666174092949
25_musk,varweight,0.5753922836133598,0.4787549991450211,0,0.6666666666666666,10,,30,random,0,0.04961666174092949
26_optdigits,borda,0.8166666666666667,0.611111111111111,0,1.0,9,,30,random,0,0.4813412228796844
26_optdigits,mean,0.8166666666666667,0.611111111111111,0,1.0,9,,30,random,0,0.4813412228796844
26_optdigits,varweight,0.8499999999999999,0.6666666666666666,0,1.0,9,,30,random,0,0.4813412228796844
27_PageBlocks,borda,0.6,0.3333333333333333,0,0.6666666666666666,10,,30,random,0,0.2840909547032733
27_PageBlocks,mean,0.4545454545454545,0.24444444444444444,0,0.6666666666666666,10,,30,random,0,0.2840909547032733
27_PageBlocks,varweight,0.0303030303030303,0.022222222222222223,0,0.3333333333333333,10,,30,random,0,0.2840909547032733
28_pendigits,borda,0.8666666666666665,0.6888888888888888,0,0.6666666666666666,10,,30,random,0,0.09551902552647151
28_pendigits,mean,0.8787878787878788,0.7333333333333333,0,0.6666666666666666,10,,30,random,0,0.09551902552647151
28_pendigits,varweight,0.9151515151515152,0.7777777777777777,0,0.6666666666666666,10,,30,random,0,0.09551902552647151
29_Pima,borda,0.5151515151515151,0.37777777777777777,0,0.3333333333333333,10,,30,random,0,0.11858208955223892
29_Pima,mean,0.406060606060606,0.24444444444444444,0,0.0,10,,30,random,0,0.11858208955223892
29_Pima,varweight,0.38181818181818183,0.28888888888888886,0,0.0,10,,30,random,0,0.11858208955223892
30_satellite,borda,0.8303030303030302,0.6444444444444444,0,0.6666666666666666,10,,30,random,0,0.2993771209144489
30_satellite,mean,0.8424242424242423,0.6444444444444444,0,0.6666666666666666,10,,30,random,0,0.2993771209144489
30_satellite,varweight,0.8787878787878788,0.7333333333333333,0,0.6666666666666666,10,,30,random,0,0.2993771209144489
31_satimage-2,borda,0.7477238187264795,0.5393598899705937,0,1.0,10,,30,random,0,0.036396232670653395
