modality,seed,dataset,regret,top1_agree,rank_margin,inter_regime_rho,rand_regret,best_is_local
cv,2,FashionMNIST_3,0.0,0.6666666666666666,0.12881768372055835,0.46666666666666673,0.05289976484420922,True
cv,2,FashionMNIST_4,0.0,0.6666666666666666,0.11523828283263948,0.6044444444444445,0.08432451499118165,True
cv,2,FashionMNIST_5,0.027335978835978714,0.6666666666666666,0.11013581968413921,0.62,0.02324985302763094,True
cv,2,FashionMNIST_6,0.00465608465608458,0.8333333333333334,0.09710626268362721,0.66,0.1393159905937682,True
cv,2,FashionMNIST_7,0.0,0.6666666666666666,0.16001778549962775,0.5566666666666666,0.013970605526161028,True
cv,2,FashionMNIST_8,0.0,0.6666666666666666,0.0947858142742577,0.6388888888888888,0.14332392710170494,True
cv,2,FashionMNIST_9,0.0,0.8333333333333334,0.1302046685211653,0.7333333333333333,0.02121604938271615,True
cv,3,CIFAR10_0,0.0063155893536124275,0.6666666666666666,0.07196805401710171,0.5577777777777778,0.03816814533164359,True
cv,3,CIFAR10_1,0.0,0.6666666666666666,0.05177831886935069,0.5344444444444444,0.15456991972961565,True
cv,3,CIFAR10_2,0.0,0.5,0.0755846976906911,0.6,0.05606506125897759,True
cv,3,CIFAR10_3,0.0,0.6666666666666666,0.07800127771868948,0.6355555555555557,0.08681073088297431,True
cv,3,CIFAR10_4,0.017494296577946655,0.8333333333333334,0.15254558456734324,0.37000000000000005,0.03813350232361645,True
cv,3,CIFAR10_5,0.0,0.6666666666666666,0.10979948559152186,0.11222222222222224,0.07769750739332482,True
cv,3,CIFAR10_6,0.0,0.6666666666666666,0.0578695507503485,0.3911111111111111,0.06467596113223484,True
cv,3,CIFAR10_7,0.0,0.6666666666666666,0.09016024049953342,0.5033333333333334,0.08094212082805241,True
cv,3,CIFAR10_8,0.0,0.6666666666666666,0.10369754988569557,0.20333333333333334,0.059427122940430954,True
cv,3,CIFAR10_9,0.0,0.5,0.040457337135213045,0.7411111111111109,0.0872513730460498,True
cv,3,FashionMNIST_0,0.012626984126984153,0.6666666666666666,0.14927250492291522,0.5400000000000001,0.06985920047031158,True
cv,3,FashionMNIST_1,0.005658730158730085,0.6666666666666666,0.16599669145227458,0.5933333333333333,0.03510670194003529,True
cv,3,FashionMNIST_2,0.033074074074074034,1.0,0.125,0.7988888888888889,0.11269753086419754,True
cv,3,FashionMNIST_3,0.0,0.6666666666666666,0.12680804469846385,0.5977777777777776,0.06147854203409764,True
cv,3,FashionMNIST_4,0.0,0.6666666666666666,0.04665456190181705,0.5033333333333334,0.09145679012345687,True
cv,3,FashionMNIST_5,0.026058201058201003,0.6666666666666666,0.11358547225499238,0.7988888888888889,0.02820487948265704,True
cv,3,FashionMNIST_6,0.0,0.8333333333333334,0.10255841498206764,0.7800000000000001,0.1305796590241034,True
cv,3,FashionMNIST_7,0.0,0.8333333333333334,0.10945022256159653,0.7488888888888889,0.0157674897119342,True
cv,3,FashionMNIST_8,0.0,0.6666666666666666,0.09732651294223726,0.31,0.13731510875955333,True
cv,3,FashionMNIST_9,0.0,1.0,0.18260183558346477,0.6655555555555555,0.020727807172251755,True
cv,4,CIFAR10_0,0.01073764258555121,0.6666666666666666,0.08139148086482018,0.6055555555555554,0.038678495986480876,True
cv,4,CIFAR10_1,0.0,0.6666666666666666,0.06952897851343509,0.18555555555555556,0.15804816223067175,True
cv,4,CIFAR10_2,0.0,0.6666666666666666,0.11716276138123172,0.3655555555555556,0.07111153358681876,True
cv,4,CIFAR10_3,0.0,0.6666666666666666,0.08954866256711336,0.3677777777777778,0.08323912125052801,True
cv,4,CIFAR10_4,0.01766159695817493,0.6666666666666666,0.10074243551046114,0.478888888888889,0.036049852133502314,True
cv,4,CIFAR10_5,0.0,0.6666666666666666,0.12212038303015893,0.24555555555555558,0.08803422053231935,True
cv,4,CIFAR10_6,0.0,0.6666666666666666,0.12659993342998976,0.2333333333333333,0.06643346007604578,True
cv,4,CIFAR10_7,0.0,0.6666666666666666,0.1041573585383776,0.2077777777777778,0.09675369666244182,True
cv,4,CIFAR10_8,0.0,0.8333333333333334,0.13283330592184506,0.45222222222222225,0.06970046472327829,True
cv,4,CIFAR10_9,0.0,0.5,0.11145680079985887,0.28777777777777774,0.08845289395859746,True
cv,4,FashionMNIST_0,0.01487566137566132,0.6666666666666666,0.10668463087926339,0.46777777777777785,0.0777645502645502,True
cv,4,FashionMNIST_1,0.0075529100529099225,0.6666666666666666,0.1786367934795603,0.4055555555555556,0.03757466196355075,True
cv,4,FashionMNIST_2,0.024298941798941875,0.6666666666666666,0.0736060999496384,0.8077777777777778,0.10921399176954727,True
cv,4,FashionMNIST_3,0.0,0.6666666666666666,0.15512219508084424,0.6033333333333333,0.06953497942386822,True
