modality,seed,dataset,r1_ens_smallest_rand,r3_ens_smallest_rand,r1_uniform_bank,r3_uniform_bank,r1_discriminative,r3_discriminative,r1_stability,r3_stability,r1_disc_x_stab,r3_disc_x_stab,r1_margin,r3_margin,r1_softmax_var_T0.001,r3_softmax_var_T0.001,r1_softmax_var_T0.0003,r3_softmax_var_T0.0003,r1_agreement,r3_agreement,r1_disc_agree,r3_disc_agree,r1_best_regime_var,r3_best_regime_var,r1_best_regime_agr,r3_best_regime_agr,r1_zscore_disc,r3_zscore_disc,r1_zscore_uniform,r3_zscore_uniform,r1_top1_vote,r3_top1_vote,r1_ORACLE_best_regime,r3_ORACLE_best_regime
tabular,0,29_Pima,0.002649253731343393,0.0,0.05287313432835827,0.002649253731343393,0.05287313432835827,0.002649253731343393,0.05287313432835827,0.002649253731343393,0.05287313432835827,0.002649253731343393,0.05287313432835827,0.002649253731343393,0.05287313432835827,0.002649253731343393,0.0,0.0,0.05287313432835827,0.002649253731343393,0.05287313432835827,0.002649253731343393,0.0,0.0,0.05287313432835827,0.03485074626865681,0.05287313432835827,0.002649253731343393,0.05287313432835827,0.002649253731343393,0.05287313432835827,0.002649253731343393,0.0,0.0
tabular,0,30_satellite,0.034747834434720404,0.0,0.034747834434720404,0.0,0.034747834434720404,0.0,0.034747834434720404,0.0,0.034747834434720404,0.0,0.034747834434720404,0.0,0.009719927665654438,0.0,0.009719927665654438,0.0,0.034747834434720404,0.0,0.034747834434720404,0.0,0.009719927665654438,0.0,0.034747834434720404,0.0,0.034747834434720404,0.0,0.034747834434720404,0.0,0.034747834434720404,0.0,0.009719927665654438,0.009719927665654438
tabular,0,31_satimage-2,0.002799710205435013,0.0,0.002799710205435013,0.0,0.002799710205435013,0.0,0.002799710205435013,0.0,0.002799710205435013,0.0,0.002799710205435013,0.0,0.0,0.0,0.0,0.0,0.002799710205435013,0.0,0.002799710205435013,0.0,0.0,0.0,0.002799710205435013,0.0,0.002799710205435013,0.0,0.002799710205435013,0.0,0.002799710205435013,0.0,0.0,0.0
tabular,0,32_shuttle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tabular,0,35_SpamBase,0.04404266138088009,0.0,0.0,0.0,0.04404266138088009,0.0,0.0,0.0,0.04404266138088009,0.0,0.04404266138088009,0.0,0.04404266138088009,0.0,0.04404266138088009,0.0,0.0,0.0,0.04404266138088009,0.0,0.04404266138088009,0.0,0.04404266138088009,0.0,0.04404266138088009,0.0,0.04404266138088009,0.0,0.04404266138088009,0.0,0.0,0.0
tabular,0,36_speech,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783,0.0023289994347088783
tabular,0,37_Stamps,0.03381893860561913,0.00520291363163361,0.03381893860561913,0.00520291363163361,0.03381893860561913,0.00520291363163361,0.03381893860561913,0.00520291363163361,0.03381893860561913,0.00520291363163361,0.03381893860561913,0.00520291363163361,0.03381893860561913,0.00520291363163361,0.03381893860561913,0.00520291363163361,0.03381893860561913,0.00520291363163361,0.03381893860561913,0.00520291363163361,0.03381893860561913,0.00520291363163361,0.03381893860561913,0.00520291363163361,0.03381893860561913,0.00520291363163361,0.03381893860561913,0.00520291363163361,0.03381893860561913,0.00520291363163361,0.03381893860561913,0.03381893860561913
tabular,0,38_thyroid,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538,0.015559256661991538
tabular,0,39_vertebral,0.10396825396825388,0.023809523809523725,0.10396825396825388,0.023809523809523725,0.10396825396825388,0.023809523809523725,0.10396825396825388,0.023809523809523725,0.10396825396825388,0.023809523809523725,0.10396825396825388,0.023809523809523725,0.10396825396825388,0.023809523809523725,0.10396825396825388,0.023809523809523725,0.10396825396825388,0.023809523809523725,0.10396825396825388,0.023809523809523725,0.10396825396825388,0.023809523809523725,0.10396825396825388,0.023809523809523725,0.10396825396825388,0.023809523809523725,0.10396825396825388,0.023809523809523725,0.10396825396825388,0.023809523809523725,0.10396825396825388,0.10396825396825388
tabular,0,40_vowels,0.0,0.0,0.01631205673758862,0.0,0.01631205673758862,0.0,0.01631205673758862,0.0,0.01631205673758862,0.0,0.01631205673758862,0.0,0.01631205673758862,0.0,0.01631205673758862,0.0,0.01631205673758862,0.0,0.01631205673758862,0.0,0.01631205673758862,0.0,0.01631205673758862,0.0,0.01631205673758862,0.0,0.01631205673758862,0.0,0.01631205673758862,0.0,0.0,0.0
